SAMPLE	DATASET	CONTINENT	SUBREGION	COUNTRY	POPULATION	GENOTYPING_METHOD
BUSBY2020_XAL90	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL91	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL92	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL93	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL94	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL95	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL96	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL97	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_XAL98	BUSBY2020	Europe	South_Europe	Greece	Greek	Microarray
BUSBY2020_END07	BUSBY2020	Africa	East_Africa	Tanzania	Hadza	Microarray
BUSBY2020_END08	BUSBY2020	Africa	East_Africa	Tanzania	Hadza	Microarray
BUSBY2020_END12	BUSBY2020	Africa	East_Africa	Tanzania	Hadza	Microarray
BUSBY2020_HLKP243	BUSBY2020	Asia	South_Asia	India	Hakki_Pikki	Microarray
BUSBY2020_HLKP245	BUSBY2020	Asia	South_Asia	India	Hakki_Pikki	Microarray
BUSBY2020_HLKP252	BUSBY2020	Asia	South_Asia	India	Hakki_Pikki	Microarray
BUSBY2020_HGDP00774	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00775	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00776	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00777	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00778	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00779	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00780	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00781	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00782	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00783	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00784	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00785	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00786	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00811	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00812	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00813	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00814	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00815	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00817	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00818	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00819	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00820	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00821	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00822	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00971	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00972	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00973	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00974	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00975	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00976	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00977	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01021	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01023	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01024	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01287	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01288	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01289	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01290	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01291	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01292	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01293	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01294	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01295	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP01296	BUSBY2020	Asia	East_Asia	China	Han	Microarray
BUSBY2020_HGDP00099	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00100	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00102	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00103	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00104	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00105	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00106	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00108	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00109	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00110	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00112	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00115	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00116	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00118	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00119	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00120	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00121	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00122	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00124	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00125	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00127	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP00129	BUSBY2020	Asia	Middle_East	Pakistan	Hazara	Microarray
BUSBY2020_HGDP01234	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01236	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01237	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01238	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01239	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01240	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01241	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_HGDP01242	BUSBY2020	Asia	East_Asia	China	Hezhen	Microarray
BUSBY2020_hungary1	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary2	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary3	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary4	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary5	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary6	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary7	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary8	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary9	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary10	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary11	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary12	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary13	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary14	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary15	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary16	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary17	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary18	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary19	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_hungary20	BUSBY2020	Europe	East_Europe	Hungary	Hungarian	Microarray
BUSBY2020_KNTK385	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK386	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK388	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK390	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK392	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK394	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK397	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK400	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_KNTK408	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_SAKD60	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_SAKD64	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_SAKD72	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_SAKD75	BUSBY2020	Asia	South_Asia	India	Indian	Microarray
BUSBY2020_Indian_Jew_1	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_2	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_3	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_4	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_5	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_6	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_7	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_Indian_Jew_8	BUSBY2020	Asia	South_Asia	India	Indian_Jew	Microarray
BUSBY2020_iran1	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran2	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran3	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran4	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran5	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran6	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran7	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran8	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran9	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran10	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran11	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran12	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran13	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran14	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran15	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran16	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran17	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran18	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran19	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_iran20	BUSBY2020	Asia	Middle_East	Iran	Iranian	Microarray
BUSBY2020_IRL001	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_IRL002	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_IRL003	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_IRL004	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_IRL005	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_IRL006	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_IRL007	BUSBY2020	Europe	North_Europe	Ireland	Irish	Microarray
BUSBY2020_HGDP01147	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01151	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01152	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01153	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01155	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01156	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01157	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01171	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01172	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01173	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01174	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_HGDP01177	BUSBY2020	Europe	South_Europe	Italy	Bergamo	Microarray
BUSBY2020_BEL33	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL37	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL38	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL43	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL45	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL47	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL48	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL49	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL51	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL52	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL53	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL54	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL56	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL57	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL58	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL59	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL60	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_BEL61	BUSBY2020	Europe	South_Europe	Italy	Calabria	Microarray
BUSBY2020_HGDP00747	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00748	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00749	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00750	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00751	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00752	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00753	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00755	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00756	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00757	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00758	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00759	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00760	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00761	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00762	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00763	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00764	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00765	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00766	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00767	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00768	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00769	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00771	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00772	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00773	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00790	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00791	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_HGDP00828	BUSBY2020	Asia	East_Asia	Japan	Japanese	Microarray
BUSBY2020_Jordan62	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan214	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan305	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan307	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan382	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan384	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan387	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan426	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan444	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan445	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan485	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan502	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan503	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan543	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan546	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan560	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan563	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan603	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan608	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_Jordan646	BUSBY2020	Asia	Middle_East	Jordan	Jordanian	Microarray
BUSBY2020_HGDP00267	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00274	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00277	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00279	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00281	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00285	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00286	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00288	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00290	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00298	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00302	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00304	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00307	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00309	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00311	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00313	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00315	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00319	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00323	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00326	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00328	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00330	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_HGDP00333	BUSBY2020	Asia	Middle_East	Pakistan	Kalash	Microarray
BUSBY2020_A141	BUSBY2020	Asia	South_Asia	India	Kanjar	Microarray
BUSBY2020_A143	BUSBY2020	Asia	South_Asia	India	Kanjar	Microarray
BUSBY2020_evo_33	BUSBY2020	Asia	South_Asia	India	Kanjar	Microarray
BUSBY2020_evo_34	BUSBY2020	Asia	South_Asia	India	Kanjar	Microarray
BUSBY2020_evo_38	BUSBY2020	Asia	South_Asia	India	Kanjar	Microarray
BUSBY2020_HGDP00995	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP00998	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP00999	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01001	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01003	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01006	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01009	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01010	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01012	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01013	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01014	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01015	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01018	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_HGDP01019	BUSBY2020	America	Native_America	Brazil	Karitiana	Microarray
BUSBY2020_ket1	BUSBY2020	Asia	North_Asia	Russia	Ket	Microarray
BUSBY2020_ket2	BUSBY2020	Asia	North_Asia	Russia	Ket	Microarray
BUSBY2020_288	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_290	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_296e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_298	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_306	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_308e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_309e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_310e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_314	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_319	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_321e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_323	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_328e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_330e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_332	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_335e	BUSBY2020	Asia	South_Asia	India	Kol	Microarray
BUSBY2020_koryakE76	BUSBY2020	Asia	North_Asia	Russia	Koryak	Microarray
BUSBY2020_koryakE84	BUSBY2020	Asia	North_Asia	Russia	Koryak	Microarray
BUSBY2020_koryakE102	BUSBY2020	Asia	North_Asia	Russia	Koryak	Microarray
BUSBY2020_koryakE117	BUSBY2020	Asia	North_Asia	Russia	Koryak	Microarray
BUSBY2020_koryakE137	BUSBY2020	Asia	North_Asia	Russia	Koryak	Microarray
BUSBY2020_195	BUSBY2020	Asia	South_Asia	India	Kshatriya	Microarray
BUSBY2020_198	BUSBY2020	Asia	South_Asia	India	Kshatriya	Microarray
BUSBY2020_199e	BUSBY2020	Asia	South_Asia	India	Kshatriya	Microarray
BUSBY2020_201	BUSBY2020	Asia	South_Asia	India	Kshatriya	Microarray
BUSBY2020_204e	BUSBY2020	Asia	South_Asia	India	Kshatriya	Microarray
